"","IdVote","RegistrationNumber","BusinessTitle","Subject","IdSession","NrValid","Yes","Result_share_yes","Result","ja_svp","ja_fdp","ja_cvp","ja_sp","ja_gruene","valid_svp","valid_fdp","valid_cvp","valid_sp","valid_gruene","ja_share_svp","ja_share_fdp","ja_share_cvp","ja_share_sp","ja_share_gruene"
"1",16346,12606,"FIPOI. Finanzhilfen zum Wiederaufbau des IFRC in Genf","Gesamtabstimmung",5001,178,130,0.730337078651685,"Ja",7,29,28,43,12,58,29,28,43,12,0.120689655172414,1,1,1,1
"2",16395,12655,"Weiterentwicklung der Armee. Änderung der Rechtsgrundlagen","Gesamtabstimmung",5001,149,142,0.953020134228188,"Ja",67,32,30,2,0,67,32,30,41,11,1,1,1,0.0487804878048781,0
"3",16406,12666,"Weiterentwicklung der Armee. Änderung der Rechtsgrundlagen","Gesamtabstimmung",5001,171,141,0.824561403508772,"Ja",67,32,30,1,0,67,32,30,41,11,1,1,1,0.024390243902439,0
"4",16448,12708,"Voranschlag 2016","Gesamtabstimmung",5001,145,80,0.551724137931034,"Ja",0,30,30,1,7,65,30,30,42,11,0,1,1,0.0238095238095238,0.636363636363636
"5",16452,12712,"Voranschlag 2016","Gesamtabstimmung",5001,190,188,0.989473684210526,"Ja",63,30,30,42,11,65,30,30,42,11,0.969230769230769,1,1,1,1
"6",16453,12713,"Voranschlag 2016","Gesamtabstimmung",5001,189,189,1,"Ja",64,30,30,42,11,64,30,30,42,11,1,1,1,1,1
"7",16454,12714,"Voranschlag 2016","Gesamtabstimmung",5001,189,189,1,"Ja",65,29,30,42,11,65,30,30,42,11,1,0.966666666666667,1,1,1
"8",16456,12716,"Voranschlag 2015. Nachtrag II","Gesamtabstimmung",5001,190,146,0.768421052631579,"Ja",21,30,30,42,11,65,30,30,42,11,0.323076923076923,1,1,1,1
"9",16457,12717,"Voranschlag 2015. Nachtrag II","Gesamtabstimmung",5001,190,146,0.768421052631579,"Ja",21,30,30,42,11,65,30,30,42,11,0.323076923076923,1,1,1,1
"10",16462,12722,"Doppelbesteuerung. Abkommen mit Italien","Gesamtabstimmung",5001,142,129,0.908450704225352,"Ja",15,32,24,38,10,64,32,27,38,10,0.234375,1,0.888888888888889,1,1
"11",16479,12739,"Krebsregistrierungsgesetz","Gesamtabstimmung",5001,174,171,0.982758620689655,"Ja",62,26,25,38,10,65,26,25,38,10,0.953846153846154,1,1,1,1
